Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
BE;;Escautpont;50.420270857658636, 3.551812869268811;SO2;EEA France;µg/m³;3.6;2017-07-18T22:00:00+02:00;Belgium
BG;Teleorman-RNMCA;NET-RO058A;43.650721999999995, 25.363583;CO;EEA Romania;µg/m³;1237.2511399999999;2024-03-11T09:00:00+01:00;Bulgaria
BG;National air network;NET-BG001A;42.518891999999994, 27.375144;O3;EEA Bulgaria;µg/m³;12.06;2024-03-11T08:00:00+01:00;Bulgaria
BG;National air network;NET-BG001A;42.669796999999996, 23.268403000000003;NO;EEA Bulgaria;µg/m³;42.43;2024-03-11T08:00:00+01:00;Bulgaria
BG;National air network;NET-BG001A;43.217279999999995, 27.935959999999998;NO2;EEA Bulgaria;µg/m³;16.6;2024-03-11T08:00:00+01:00;Bulgaria
BR;Rio de Janeiro;São Cristóvão;-22.8961, -43.2212;O3;rio-city-hall;µg/m³;0.0;2023-11-30T15:00:00+01:00;Brazil
BR;Americana;Americana;-22.7242527, -47.33954929;PM10;Sao Paulo CETESB;µg/m³;49.0;2023-04-05T17:00:00+02:00;Brazil
BR;São Paulo;Congonhas;-23.61632008, -46.66346553;SO2;Sao Paulo CETESB;µg/m³;4.0;2023-04-05T17:00:00+02:00;Brazil
BZ;N/A;Belmopan;17.256124, -88.773876;PM2.5;AirNow;µg/m³;9.0;2024-03-14T09:00:00+01:00;Belize
CA;BRITISH COLUMBIA;Agassiz;49.238008, -121.762264;PM2.5;AirNow;µg/m³;3.4;2024-03-14T09:00:00+01:00;Canada
CA;QUEBEC;Mont-Saint-Michel;46.7686, -75.4319;O3;AirNow;ppm;-0.002;2024-03-14T08:00:00+01:00;Canada
CA;ALBERTA;Edmonton East;53.5472, -113.3681;PM2.5;AirNow;µg/m³;11.2;2024-03-14T09:00:00+01:00;Canada
CA;QUEBEC;L�vis - Parc Georges;46.80238, -71.16834;PM2.5;AirNow;µg/m³;3.4;2024-03-14T09:00:00+01:00;Canada
CA;QUEBEC;Temiscaming;46.72139, -79.0997;PM2.5;AirNow;µg/m³;47.1;2024-03-14T09:00:00+01:00;Canada
CA;QUEBEC;Auclair;47.73333, -68.7072;O3;AirNow;ppm;0.033;2024-03-14T09:00:00+01:00;Canada
CA;BRITISH COLUMBIA;Abbotsford Airport;49.021505999999995, -122.326556;NO2;AirNow;ppm;0.0145;2024-03-14T09:00:00+01:00;Canada
CA;BRITISH COLUMBIA;Kensington Park;49.2794, -122.97109999999999;PM10;AirNow;µg/m³;5.0;2024-03-14T09:00:00+01:00;Canada
CA;BRITISH COLUMBIA;Vancouver Airport;49.18639000000001, -123.15221999999997;O3;AirNow;ppm;0.007;2024-03-14T09:00:00+01:00;Canada
CA;BRITISH COLUMBIA;Chilliwack;49.156110000000005, -121.94056;NO2;AirNow;ppm;0.0128;2024-03-14T09:00:00+01:00;Canada
CA;ALBERTA;Joussard;55.340367, -115.895667;O3;AirNow;ppm;0.04;2024-03-14T09:00:00+01:00;Canada
CA;NOVA SCOTIA;JOHNSTON BUILDING -;44.647175, -63.573689;SO2;AirNow;ppm;0.0;2024-03-14T09:00:00+01:00;Canada
CA;;AC Richmond, BC;49.12289147218409, -123.1630830234623;PM2.5;airgradient;µg/m³;0.056547620644172035;2024-03-14T00:00:00+01:00;Canada
CA;N/A;Brampton;43.669911, -79.766589;NO2;AirNow;ppm;0.005;2024-03-13T10:00:00+01:00;Canada
CA;ONTARIO;Brantford;43.138611, -80.292639;PM2.5;AirNow;µg/m³;11.0;2024-03-13T10:00:00+01:00;Canada
CA;N/A;Misssissauga;43.546174, -79.658797;NO2;AirNow;ppm;0.015;2024-03-13T10:00:00+01:00;Canada
CA;ONTARIO;Barrie;44.382338, -79.702446;PM2.5;AirNow;µg/m³;14.0;2024-03-13T10:00:00+01:00;Canada
CA;ONTARIO;Chatham;42.403964, -82.208306;O3;AirNow;ppm;0.031;2024-03-13T10:00:00+01:00;Canada
CA;ONTARIO;Chatham;42.403964, -82.208306;NO2;AirNow;ppm;0.006;2024-03-13T10:00:00+01:00;Canada
CA;BRITISH COLUMBIA;BESSBOROUGH 237 ROAD;55.791944, -120.483611;SO2;AirNow;ppm;0.0002;2024-03-13T10:00:00+01:00;Canada
CA;N/A;AJ Ottewell Communit;53.53209, -113.32098;O3;AirNow;ppm;0.029;2024-03-13T10:00:00+01:00;Canada
CA;;Halte routière;45.54443354923713, -73.21194147930187;TEMPERATURE;airgradient;c;-1.9995021494952114;2024-01-30T18:00:00+01:00;Canada
CA;NEWFOUNDLAND;St. John's;47.56038, -52.7115;NO2;AirNow;ppm;0.0060999999999999995;2024-01-30T13:30:00+01:00;Canada
CA;NEWFOUNDLAND;MacPherson Avenue -;48.95224000000001, -57.922070000000005;NO2;AirNow;ppm;0.0077;2024-01-30T12:30:00+01:00;Canada
CA;NEWFOUNDLAND;MacPherson Avenue -;48.95224000000001, -57.922070000000005;PM10;AirNow;µg/m³;8.0;2024-01-21T14:30:00+01:00;Canada
CA;QUEBEC;Saint-Simon;45.4431, -73.4686;PM2.5;AirNow;µg/m³;3.4;2023-08-01T13:00:00+02:00;Canada
CA;ONTARIO;Cornwall;45.017972, -74.735222;O3;AirNow;ppm;0.026;2023-07-31T19:00:00+02:00;Canada
CA;ONTARIO;Chatham;42.4033, -82.2086;PM2.5;AirNow;µg/m³;44.0;2023-07-17T19:00:00+02:00;Canada
CA;ONTARIO;Kitchener;43.4419, -80.5044;O3;AirNow;ppm;0.043;2023-07-14T16:00:00+02:00;Canada
CA;ONTARIO;Kitchener;43.4419, -80.5044;PM2.5;AirNow;µg/m³;26.0;2023-07-17T18:00:00+02:00;Canada
CA;ONTARIO;Ottawa;45.4322, -75.6764;NO2;AirNow;ppm;0.002;2023-07-17T17:00:00+02:00;Canada
CA;;Sherbrooke - Parc Ca;45.4125, -71.8744;PM2.5;AirNow;µg/m³;5.3;2022-02-23T15:00:00+01:00;Canada
CA;;Kelowna College;49.8611, -119.475;PM2.5;AirNow;µg/m³;8.6;2020-11-30T16:00:00+01:00;Canada
CA;;Golden Hospital;51.2958, -116.9717;PM2.5;AirNow;µg/m³;0.7;2016-06-09T21:00:00+02:00;Canada
CA;Lethbridge;SPARTAN - Lethbridge;49.6817, -112.869;PM2.5;spartan-network;µg/m³;4.6;2019-05-14T17:00:00+02:00;Canada
CA;;A�roport de Montr�al;45.4667, -73.75;O3;AirNow;ppm;0.028;2016-06-09T21:00:00+02:00;Canada
CH;Nationales Beobachtungsnetz für Luftfremdstoffe;NET-CH003A;47.067399999464634, 8.46333;PM2.5;EEA Switzerland;µg/m³;0.9521;2024-03-11T13:00:00+01:00;Switzerland
CH;OSTLUFT;NET-CH015A;47.50819999946532, 8.72035;PM10;EEA Switzerland;µg/m³;3.6461;2024-03-11T13:00:00+01:00;Switzerland
CH;inLUFT;NET-CH016A;47.06769999946463, 8.300679999999998;PM10;EEA Switzerland;µg/m³;3.3146;2024-03-11T13:00:00+01:00;Switzerland
CL;Catemu;Santa Margarita;-32.776573, -70.938144;PM2.5;Chile - SINCA;µg/m³;0.0;2017-06-28T15:00:00+02:00;Chile
CL;Panquehue;Lo Campo;-32.797715, -70.898037;SO2;Chile - SINCA;µg/m³;17.0;2024-03-01T08:00:00+01:00;Chile
CL;Viña del Mar;Viña del Mar;-33.020419817382, -71.550092842922;CO;Chile - SINCA;µg/m³;0.0;2017-06-28T17:00:00+02:00;Chile
CL;Concón;Junta de Vecinos;-32.935167, -71.52577;SO2;Chile - SINCA;µg/m³;19.45;2024-03-01T08:00:00+01:00;Chile
CL;Cauquenes;Cauquenes Sivica;-35.969115075775, -72.316818237305;PM2.5;Chile - SINCA;µg/m³;16.0;2024-03-01T07:00:00+01:00;Chile
CL;Calama;Nueva ChiuChiu;-22.342971402789, -68.648661344727;SO2;Chile - SINCA;µg/m³;11.88;2024-03-01T07:00:00+01:00;Chile
CL;Talagante;Talagante;-33.673752071375, -70.953064737434;NO2;Chile - SINCA;µg/m³;134.8;2019-12-05T18:00:00+01:00;Chile
CL;Talca;U.C. Maule;-35.435725588722, -71.619553864003;SO2;Chile - SINCA;µg/m³;0.0;2017-06-28T17:00:00+02:00;Chile
CL;Quilicura;Quilicura;-33.349626928347, -70.723792612552;PM2.5;Chile - SINCA;µg/m³;21.0;2024-03-01T07:00:00+01:00;Chile
CL;Quilpué;Quilpue Gimnasio;-33.047630211689, -71.438813209534;PM2.5;Chile - SINCA;µg/m³;17.0;2024-03-01T07:00:00+01:00;Chile
CL;Tomé;Liceo Polivalente;-36.601713211434, -72.958522830688;PM10;Chile - SINCA;µg/m³;51.0;2024-02-29T20:00:00+01:00;Chile
CL;Coquimbo;Coquimbo;-29.970390235273, -71.336038250122;PM2.5;Chile - SINCA;µg/m³;16.0;2024-02-29T21:00:00+01:00;Chile
CL;Coronel;Lota rural;-37.100696257418, -73.155760394707;NO2;Chile - SINCA;µg/m³;15.68;2021-08-20T23:00:00+02:00;Chile
CL;;Cerrillos II;-33.437651, -70.650233;PM2.5;Chile - SINCA;µg/m³;100.0;2023-05-08T07:00:00+02:00;Chile
CL;;Ventanas;-32.77898790221, -71.373031276855;PM10;Chile - SINCA;µg/m³;29.86;2018-08-29T19:00:00+02:00;Chile
CL;;Colicheu;-37.023623, -72.277476;PM10;Chile - SINCA;µg/m³;15.55;2018-08-17T13:00:00+02:00;Chile
CL;;Colicheu;-37.023623, -72.277476;O3;Chile - SINCA;µg/m³;19.01;2018-08-17T12:00:00+02:00;Chile
CL;;Progreso;-37.068142, -72.289451;PM10;Chile - SINCA;µg/m³;37.46;2017-11-13T15:00:00+01:00;Chile
CN;New Territories;Kwai Chung;22.357222222222223, 114.12972222222223;SO2;Hong Kong;µg/m³;3.8;2024-03-02T09:00:00+01:00;China
CN;Beijing;Beijing US Embassy;39.95, 116.47;PM2.5;Beijing US Embassy;µg/m³;25.0;2023-08-15T17:00:00+02:00;China
CN;Chico;Paradise - Clark Roa;39.757861, 121.607908;O3;AirNow;ppm;0.051;2023-07-13T19:00:00+02:00;China
CN;;市环保局;42.9418, 89.1904;SO2;ChinaAQIData;µg/m³;5.0;2021-08-09T13:00:00+02:00;China
CN;;滨湖新区;31.7385, 117.2776;O3;ChinaAQIData;µg/m³;154.0;2021-08-09T13:00:00+02:00;China
CN;;阜阳职业技术学院;32.88920000000001, 115.784;O3;ChinaAQIData;µg/m³;120.0;2021-08-09T13:00:00+02:00;China
CN;;市新民污水厂;30.941300000000002, 117.78070000000001;PM10;ChinaAQIData;µg/m³;88.0;2021-08-09T13:00:00+02:00;China
CN;;高新区;38.0266, 114.60630000000002;SO2;ChinaAQIData;µg/m³;5.0;2021-08-09T13:00:00+02:00;China
CN;;职业技术学院;33.9477, 116.7856;O3;ChinaAQIData;µg/m³;135.0;2021-08-09T13:00:00+02:00;China
CN;;增城荔城;23.2614, 113.8051;O3;ChinaAQIData;µg/m³;69.0;2021-08-09T13:00:00+02:00;China
CN;;夏渡子站;30.9141, 118.77240000000002;CO;ChinaAQIData;µg/m³;700.0;2021-08-09T13:00:00+02:00;China
CN;;大丰高级中学;33.20499999999999, 120.42790000000001;NO2;ChinaAQIData;µg/m³;18.0;2021-08-09T13:00:00+02:00;China
CN;;妇女儿童医院;38.9836, 106.34950000000002;O3;ChinaAQIData;µg/m³;189.0;2021-08-09T13:00:00+02:00;China
CN;;安州区旅游局;31.5343, 104.5648;CO;ChinaAQIData;µg/m³;500.0;2021-08-09T13:00:00+02:00;China
CN;;容城县环境保护局;39.0341, 115.88440000000001;PM10;ChinaAQIData;µg/m³;46.0;2021-08-09T13:00:00+02:00;China
CN;;峰峰矿区临水派出所;36.44293, 114.20016;NO2;ChinaAQIData;µg/m³;6.0;2021-08-09T13:00:00+02:00;China
CN;;工贸学校;34.6539, 119.24130000000001;PM2.5;ChinaAQIData;µg/m³;35.0;2021-08-09T13:00:00+02:00;China
CN;;市府大楼;30.236699999999995, 119.7183;CO;ChinaAQIData;µg/m³;600.0;2021-08-09T13:00:00+02:00;China
CN;;平谷新城;40.1465, 117.07089999999998;PM10;ChinaAQIData;µg/m³;33.0;2021-08-09T13:00:00+02:00;China
CN;;延庆石河营;40.4563, 115.98600000000002;O3;ChinaAQIData;µg/m³;165.0;2021-08-09T13:00:00+02:00;China
CN;;建安区兴业大厦;34.1251, 113.8134;PM2.5;ChinaAQIData;µg/m³;20.0;2021-08-09T13:00:00+02:00;China
CN;;房山燕山;39.7603, 115.9577;PM2.5;ChinaAQIData;µg/m³;22.0;2021-08-09T13:00:00+02:00;China
CN;;文体局;34.1164, 108.6116;PM10;ChinaAQIData;µg/m³;33.0;2021-08-09T13:00:00+02:00;China
CN;;曲靖师范学院;25.5261, 103.7444;PM2.5;ChinaAQIData;µg/m³;6.0;2021-08-09T13:00:00+02:00;China
CN;;木渎中学;31.2774, 120.5031;CO;ChinaAQIData;µg/m³;800.0;2021-08-09T13:00:00+02:00;China
CN;;松江图书馆;31.0378, 121.2186;NO2;ChinaAQIData;µg/m³;26.0;2021-08-09T13:00:00+02:00;China
CN;;柯桥妇保;30.041499999999996, 120.4722;SO2;ChinaAQIData;µg/m³;6.0;2021-08-09T13:00:00+02:00;China
CN;;桂林洋子站;19.9736, 110.51109999999998;PM2.5;ChinaAQIData;µg/m³;9.0;2021-08-09T13:00:00+02:00;China
CN;;横岗;22.6451, 114.1871;PM2.5;ChinaAQIData;µg/m³;12.0;2021-08-09T13:00:00+02:00;China
CN;;武进经发区;31.706600000000005, 119.85979999999999;O3;ChinaAQIData;µg/m³;220.0;2021-08-09T13:00:00+02:00;China
CN;;沙坡头区政府站;37.5162, 105.1698;PM10;ChinaAQIData;µg/m³;36.0;2021-08-09T13:00:00+02:00;China
CN;;浦东惠南;31.050700000000003, 121.7965;CO;ChinaAQIData;µg/m³;600.0;2021-08-09T13:00:00+02:00;China
CN;;海北新区;39.727399999999996, 106.813;PM2.5;ChinaAQIData;µg/m³;4.0;2021-08-09T13:00:00+02:00;China
CN;;清苑社区;31.3225, 118.4781;NO2;ChinaAQIData;µg/m³;32.0;2021-08-09T13:00:00+02:00;China
CN;;滩子口;29.024400000000004, 106.6479;PM2.5;ChinaAQIData;µg/m³;6.0;2021-08-09T13:00:00+02:00;China
CN;;潞城四中;36.34890000000001, 113.235;CO;ChinaAQIData;µg/m³;1300.0;2021-08-09T13:00:00+02:00;China
CN;;猇亭区张家湾站;30.551999999999996, 111.4606;O3;ChinaAQIData;µg/m³;79.0;2021-08-09T13:00:00+02:00;China
CN;;甘肃民族师范学院;34.9617, 102.89139999999999;PM10;ChinaAQIData;µg/m³;40.0;2021-08-09T13:00:00+02:00;China
CN;;白碱滩区新站;45.6899, 85.10450000000002;O3;ChinaAQIData;µg/m³;140.0;2021-08-09T13:00:00+02:00;China
CN;;祥符区生态环境局;34.75560000000001, 114.4644;SO2;ChinaAQIData;µg/m³;4.0;2021-08-09T13:00:00+02:00;China
CN;;秀洲住建;30.7739, 120.6916;PM10;ChinaAQIData;µg/m³;39.0;2021-08-09T13:00:00+02:00;China
CN;;科学城;30.4072, 104.07889999999999;PM2.5;ChinaAQIData;µg/m³;24.0;2021-08-09T13:00:00+02:00;China
CN;;第十二小学;27.5919, 106.8547;PM2.5;ChinaAQIData;µg/m³;5.0;2021-08-09T13:00:00+02:00;China
CN;;第十二小学;27.5919, 106.8547;SO2;ChinaAQIData;µg/m³;3.0;2021-08-09T13:00:00+02:00;China
CN;;精准医疗中心;30.4089, 114.8094;PM2.5;ChinaAQIData;µg/m³;18.0;2021-08-09T13:00:00+02:00;China
CN;;绍兴中专;29.9361, 120.56830000000001;PM2.5;ChinaAQIData;µg/m³;51.0;2021-08-09T13:00:00+02:00;China
CN;;茶山;27.925099999999997, 120.69849999999998;SO2;ChinaAQIData;µg/m³;2.0;2021-08-09T13:00:00+02:00;China
CN;;西北局旧址;36.5786, 109.4809;SO2;ChinaAQIData;µg/m³;2.0;2021-08-09T13:00:00+02:00;China
CN;;赣县区卫计委;25.8613, 115.00929999999998;NO2;ChinaAQIData;µg/m³;15.0;2021-08-09T13:00:00+02:00;China
CN;;越秀幼儿园;31.1733, 120.62400000000001;PM10;ChinaAQIData;µg/m³;34.0;2021-08-09T13:00:00+02:00;China
ES;;TORRE DE H�RCULES;43.382499999999986, -8.40888888;PM10;EEA Spain;µg/m³;45.0;2017-07-20T21:00:00+02:00;Spain
ES;;HERNANI;43.267500000000005, -1.9775000000000003;NO2;EEA Spain;µg/m³;11.0;2017-07-20T11:00:00+02:00;Spain
FI;Helsingin seudun verkko (HSY);NET-FI004A;60.18738999953731, 24.9506;O3;EEA Finland;µg/m³;22.28407;2024-02-22T09:00:00+01:00;Finland
FI;Helsingin seudun verkko (HSY);NET-FI004A;60.19643999953741, 24.951980000000006;PM10;EEA Finland;µg/m³;10.95196;2024-02-22T09:00:00+01:00;Finland
FI;Helsingin seudun verkko (HSY);NET-FI004A;60.16963999953714, 24.93924;PM10;EEA Finland;µg/m³;8.0972;2024-02-22T09:00:00+01:00;Finland
FI;Jyv��skylän verkko;NET-FI011A;62.238169999557925, 25.747879999999995;PM10;EEA Finland;µg/m³;7.5093961;2024-02-22T08:00:00+01:00;Finland
FI;Northern Savonia;FI00558;62.893499999565, 27.6883;NO2;EEA Finland;µg/m³;1.5695898;2024-01-29T21:00:00+01:00;Finland
FR;Canton de Genève;NET-CH014A;46.195599999463674, 6.211250000000001;O3;EEA Switzerland;µg/m³;14.168;2024-03-11T09:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;48.88638699999999, 6.093611;NO2;EEA France;µg/m³;7.3;2024-03-11T06:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;48.88638699999999, 6.093611;PM10;EEA France;µg/m³;1.4;2019-08-22T09:00:00+02:00;France
FR;ATMO GRAND EST;NET-FR075A;49.90778, 4.63;NO2;EEA France;µg/m³;1.7;2024-03-11T06:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;49.250732, 4.023064;PM2.5;EEA France;µg/m³;9.5;2024-03-11T05:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;49.250732, 4.023064;NO2;EEA France;µg/m³;33.4;2024-03-11T06:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;48.30166599999999, 4.076944;PM10;EEA France;µg/m³;6.1;2023-01-09T14:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;49.28222, 4.051111;PM10;EEA France;µg/m³;10.8;2024-03-11T05:00:00+01:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;45.769, 3.155;O3;EEA France;µg/m³;3.7;2020-12-17T11:00:00+01:00;France
FR;ATMO BOURGOGNE-FRANCHE-COMTE;NET-FR076A;47.065639999999995, 5.415028000000002;NO2;EEA France;µg/m³;9.4;2024-03-11T06:00:00+01:00;France
FR;ATMO BOURGOGNE-FRANCHE-COMTE;NET-FR076A;47.24739999999999, 6.015419;NO;EEA France;µg/m³;7.1;2024-03-11T06:00:00+01:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;45.608219999999996, 5.270872;O3;EEA France;µg/m³;24.7;2024-03-11T06:00:00+01:00;France
FR;ATMO HAUTS DE FRANCE;NET-FR074A;49.435931999999994, 2.084292;NO2;EEA France;µg/m³;23.1;2024-03-11T06:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;49.110283, 6.223336;SO2;EEA France;µg/m³;0.0;2019-08-28T09:00:00+02:00;France
FR;ATMO GRAND EST;NET-FR075A;49.110283, 6.223336;NO;EEA France;µg/m³;0.6;2024-03-11T06:00:00+01:00;France
FR;ATMO HAUTS DE FRANCE;NET-FR074A;50.45647, 3.42794;NO;EEA France;µg/m³;0.3;2024-03-11T06:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;48.59043, 7.744983000000001;NO;EEA France;µg/m³;0.7;2024-03-11T06:00:00+01:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;45.274722999999994, 6.349722;NO;EEA France;µg/m³;1.9;2024-03-11T06:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;45.875834999999995, 0.823951;NO2;EEA France;µg/m³;1.1;2024-03-11T04:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;45.15873699999998, 1.537259;PM10;EEA France;µg/m³;3.7;2024-03-11T05:00:00+01:00;France
FR;LIG'AIR;NET-FR061A;46.79828, 1.693139;PM2.5;EEA France;µg/m³;1.2;2024-03-11T06:00:00+01:00;France
FR;LIG'AIR;NET-FR061A;48.39113999999999, 1.955611;SO2;EEA France;µg/m³;0.1;2024-03-11T06:00:00+01:00;France
FR;AIRPARIF;NET-FR004A;48.52805699999999, 2.6536109999999997;PM2.5;EEA France;µg/m³;12.7;2024-03-11T05:00:00+01:00;France
FR;ATMO SUD;NET-FR070A;43.68929, 7.242074;NO2;EEA France;µg/m³;13.0;2024-03-11T06:00:00+01:00;France
FR;AIRPARIF;NET-FR004A;49.100277, 2.343889;PM2.5;EEA France;µg/m³;14.1;2024-03-11T06:00:00+01:00;France
FR;AIRPARIF;NET-FR004A;48.79916800000001, 2.130556;O3;EEA France;µg/m³;43.1;2024-03-11T06:00:00+01:00;France
FR;AIRPARIF;NET-FR004A;48.8059, 3.084158;PM2.5;EEA France;µg/m³;21.0;2024-03-11T06:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;46.17361999999999, 1.8730240000000002;NO;EEA France;µg/m³;-0.1;2024-03-11T06:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;46.17361999999999, 1.8730240000000002;NO2;EEA France;µg/m³;1.8;2024-03-11T06:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;46.162647, -1.153684;PM10;EEA France;µg/m³;6.9;2024-03-11T05:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;44.90029499999999, -0.515835;SO2;EEA France;µg/m³;-4.9;2024-03-11T06:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;44.841373, -0.651068;NO;EEA France;µg/m³;3.9;2024-03-11T06:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;44.800459999999994, -0.589398;PM2.5;EEA France;µg/m³;2.8;2024-03-11T06:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;43.47982, -1.489157;PM10;EEA France;µg/m³;17.9;2024-03-11T05:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;43.43645500000001, -0.695041;SO2;EEA France;µg/m³;-0.3;2024-03-11T06:00:00+01:00;France
FR;LIG'AIR;NET-FR061A;48.44915799999999, 1.492469;PM2.5;EEA France;µg/m³;12.6;2024-03-11T05:00:00+01:00;France
FR;LIG'AIR;NET-FR061A;48.44915799999999, 1.492469;NO2;EEA France;µg/m³;18.4;2024-03-11T06:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;42.69586999999999, 2.8884829999999995;NO2;EEA France;µg/m³;13.3;2024-03-11T06:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.575694999999996, 1.4180640000000002;PM2.5;EEA France;µg/m³;0.4;2024-03-11T06:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.106155, 0.71955;SO2;EEA France;µg/m³;0.7;2024-03-11T06:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;44.356989999999996, 2.5707042;PM2.5;EEA France;µg/m³;1.0;2024-03-11T06:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.09624999999999, -0.040497;NO;EEA France;µg/m³;0.5;2024-03-11T06:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.09624999999999, -0.040497;PM2.5;EEA France;µg/m³;0.4;2024-03-11T06:00:00+01:00;France
FR;ATMO NORMANDIE;NET-FR069A;49.17983199999998, -0.32974999999999993;NO2;EEA France;µg/m³;28.3;2024-03-11T06:00:00+01:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;44.94919999999999, 4.890133;NO;EEA France;µg/m³;17.1;2024-03-11T06:00:00+01:00;France
FR;AIR BREIZH;NET-FR072A;48.11521, -1.673088;O3;EEA France;µg/m³;11.0;2024-03-11T06:00:00+01:00;France
FR;AIR BREIZH;NET-FR072A;47.64891999999998, -2.76399;NO2;EEA France;µg/m³;9.7;2024-03-11T06:00:00+01:00;France
FR;ATMO BOURGOGNE-FRANCHE-COMTE;NET-FR076A;47.325745000000005, 5.041056;NO2;EEA France;µg/m³;17.1;2024-03-11T04:00:00+01:00;France
FR;ATMO HAUTS DE FRANCE;NET-FR074A;49.90166999999999, 2.304597;NO;EEA France;µg/m³;1.9;2024-03-11T06:00:00+01:00;France
FR;ATMO BOURGOGNE-FRANCHE-COMTE;NET-FR076A;47.235972999999994, 6.023611;NO;EEA France;µg/m³;7.9;2024-03-11T06:00:00+01:00;France
FR;ATMO NORMANDIE;NET-FR069A;48.445553, 0.110833;PM2.5;EEA France;µg/m³;13.9;2024-03-11T06:00:00+01:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;46.652668, 3.600667;PM2.5;EEA France;µg/m³;4.4;2024-03-11T06:00:00+01:00;France
FR;ATMO NORMANDIE;NET-FR069A;49.48768199999999, 0.451756;SO2;EEA France;µg/m³;0.9;2024-03-11T06:00:00+01:00;France
FR;AIR PAYS DE LA LOIRE;NET-FR035A;48.06943, -0.7676919999999999;O3;EEA France;µg/m³;9.8;2024-03-11T05:00:00+01:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;45.896739999999994, 3.122254;NO;EEA France;µg/m³;1.2;2024-03-10T10:00:00+01:00;France
FR;ATMO GRAND EST;NET-FR075A;49.16777999999999, 5.387460999999999;PM2.5;EEA France;µg/m³;21.9;2024-03-08T23:00:00+01:00;France
FR;ATMO AUVERGNE-RHÔNE-ALPES;NET-FR071A;46.561974, 3.3406389000000005;NO2;EEA France;µg/m³;6.2;2024-03-08T08:00:00+01:00;France
FR;ATMO BOURGOGNE-FRANCHE-COMTE;NET-FR076A;46.67130699999999, 5.556806000000001;PM2.5;EEA France;µg/m³;4.1;2024-03-04T07:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.096943, -0.03888900000000001;NO2;EEA France;µg/m³;3.7;2024-03-04T08:00:00+01:00;France
FR;ATMO NORMANDIE;NET-FR069A;49.442460000000004, 1.093694;SO2;EEA France;µg/m³;0.5;2024-03-04T08:00:00+01:00;France
FR;LIG'AIR;NET-FR061A;48.006935000000006, 2.74001;PM2.5;EEA France;µg/m³;17.4;2024-03-04T07:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;44.90027599999999, -0.514722;O3;EEA France;µg/m³;25.1;2024-03-04T08:00:00+01:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;43.838333, -0.810833;SO2;EEA France;µg/m³;-2.3;2024-03-04T08:00:00+01:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.634003, 1.3759999999999997;NO2;EEA France;µg/m³;12.2;2024-01-29T18:00:00+01:00;France
FR;Canton de Genève;NET-CH014A;46.20779999946369, 6.141130000000001;PM10;EEA Switzerland;µg/m³;12.15;2024-03-01T07:00:00+01:00;France
FR;Morbihan;FR19032;47.742485358103, -3.3948053239104;O3;EEA France;µg/m³;41.7;2024-01-29T18:00:00+01:00;France
FR;Alpes-Maritimes;FR24023;43.7933622306242, 7.33139357882613;NO2;EEA France;µg/m³;38.3;2024-01-29T18:00:00+01:00;France
